,iter,cost,type
0,128,0.5216348267223972,ensSAWEI
1,136,0.5202963214860679,ensSAWEI
2,144,0.5712237547462803,ensSAWEI
3,152,0.5064025799480449,ensSAWEI
4,160,0.49632869414972347,ensSAWEI
5,168,0.5020369126206973,ensSAWEI
6,176,0.48604882346306866,ensSAWEI
7,184,0.5118174101309441,ensSAWEI
8,192,0.5490891886291764,ensSAWEI
9,200,0.5344612312750368,ensSAWEI
10,208,0.5245809527549089,ensSAWEI
11,216,0.5256472189884647,ensSAWEI
12,224,0.5064346468790198,ensSAWEI
13,232,0.47914470284427774,ensSAWEI
14,240,0.4470153164625484,ensSAWEI
15,248,0.4586767546661169,ensSAWEI
16,256,0.3956053048866172,ensSAWEI
17,264,0.3479950125353157,ensSAWEI
18,272,0.36630582234280346,ensSAWEI
19,280,0.35437671413775257,ensSAWEI
20,288,0.3981861810314604,ensSAWEI
21,296,0.36923839987932894,ensSAWEI
22,304,0.3649664194663869,ensSAWEI
23,312,0.3140639548156778,ensSAWEI
24,320,0.2747535793396574,ensSAWEI
25,328,0.2824054932772501,ensSAWEI
26,336,0.27260444686574126,ensSAWEI
27,344,0.2569920416245542,ensSAWEI
28,352,0.24442015843850634,ensSAWEI
29,360,0.25267366619534437,ensSAWEI
30,368,0.22994399918570196,ensSAWEI
31,376,0.22757023545209085,ensSAWEI
32,384,0.22015459104947574,ensSAWEI
33,392,0.22404470674885021,ensSAWEI
34,400,0.21535331586596573,ensSAWEI
35,408,0.2313812102933864,ensSAWEI
36,416,0.19231982291054298,ensSAWEI
37,424,0.20344895755082879,ensSAWEI
38,432,0.18058878826006072,ensSAWEI
39,440,0.1951773927291375,ensSAWEI
40,448,0.18762432933139653,ensSAWEI
41,456,0.157994521415322,ensSAWEI
42,464,0.1280676420462605,ensSAWEI
43,472,0.11905235566308818,ensSAWEI
44,480,0.14045878250803032,ensSAWEI
45,488,0.11081870552619934,ensSAWEI
46,496,0.09082952756043217,ensSAWEI
47,504,0.06636567280478638,ensSAWEI
48,128,1.0214618893243852,ensSAWEI
49,136,0.8902092649509794,ensSAWEI
50,144,0.8715302004762665,ensSAWEI
51,152,0.6672106120999663,ensSAWEI
52,160,0.6863856603726978,ensSAWEI
53,168,0.55205215762366,ensSAWEI
54,176,0.6955320384934126,ensSAWEI
55,184,0.6719761186040538,ensSAWEI
56,192,0.5783598558782762,ensSAWEI
57,200,0.4019027366960473,ensSAWEI
58,208,0.5513040064334733,ensSAWEI
59,216,0.5299931630143755,ensSAWEI
60,224,0.4890067947754247,ensSAWEI
61,232,0.48533827505357885,ensSAWEI
62,240,0.4525810675819014,ensSAWEI
63,248,0.40670650053060564,ensSAWEI
64,256,0.42081847217441193,ensSAWEI
65,264,0.4122180377096954,ensSAWEI
66,272,0.415949597379191,ensSAWEI
67,280,0.4321440821486248,ensSAWEI
68,288,0.41078413080456067,ensSAWEI
69,296,0.3509269475736572,ensSAWEI
70,304,0.37072396911113586,ensSAWEI
71,312,0.3578523249824072,ensSAWEI
72,320,0.35365304771601624,ensSAWEI
73,328,0.3296675981779787,ensSAWEI
74,336,0.3262495880772424,ensSAWEI
75,344,0.3353035073358604,ensSAWEI
76,352,0.28945658648109196,ensSAWEI
77,360,0.29514031563991244,ensSAWEI
78,368,0.28141190429319685,ensSAWEI
79,376,0.2583629748844387,ensSAWEI
80,384,0.26888976643766493,ensSAWEI
81,392,0.2577838144745202,ensSAWEI
82,400,0.22721272359655165,ensSAWEI
83,408,0.2075512976723297,ensSAWEI
84,416,0.18348789620855024,ensSAWEI
85,424,0.19228368651824138,ensSAWEI
86,432,0.16540538176112127,ensSAWEI
87,440,0.18249209767147587,ensSAWEI
88,448,0.1512874391367483,ensSAWEI
89,456,0.1381664448096158,ensSAWEI
90,464,0.09376196823532613,ensSAWEI
91,472,0.07533305256118702,ensSAWEI
92,480,0.07991340642273884,ensSAWEI
93,488,0.08358923498415063,ensSAWEI
94,496,0.06128674369127383,ensSAWEI
95,504,0.03539207086647699,ensSAWEI
96,128,0.44461351168309055,ensSAWEI
97,136,0.44567050710311557,ensSAWEI
98,144,0.5057379773088782,ensSAWEI
99,152,0.3796326259776905,ensSAWEI
100,160,0.38288026409525355,ensSAWEI
101,168,0.3802159251694909,ensSAWEI
102,176,0.36485991074241464,ensSAWEI
103,184,0.35263973418570355,ensSAWEI
104,192,0.3824279669860625,ensSAWEI
105,200,0.36785337109552785,ensSAWEI
106,208,0.36770708629997434,ensSAWEI
107,216,0.3615474747185888,ensSAWEI
108,224,0.34655105805373704,ensSAWEI
109,232,0.33267331717029097,ensSAWEI
110,240,0.3441385659661819,ensSAWEI
111,248,0.3494813341718073,ensSAWEI
112,256,0.2973936581736693,ensSAWEI
113,264,0.26391297670404185,ensSAWEI
114,272,0.2646207901355167,ensSAWEI
115,280,0.2627924404255262,ensSAWEI
116,288,0.24789348274017636,ensSAWEI
117,296,0.22896478790458338,ensSAWEI
118,304,0.22695009971061722,ensSAWEI
119,312,0.22492150044725986,ensSAWEI
120,320,0.23787957713409677,ensSAWEI
121,328,0.2626391498195042,ensSAWEI
122,336,0.23832952460643284,ensSAWEI
123,344,0.2213516086689098,ensSAWEI
124,352,0.23075989157889346,ensSAWEI
125,360,0.18843001958495256,ensSAWEI
126,368,0.19496458058540136,ensSAWEI
127,376,0.1892256394595724,ensSAWEI
128,384,0.18483334277448701,ensSAWEI
129,392,0.17521388629140988,ensSAWEI
130,400,0.1937684716565338,ensSAWEI
131,408,0.18659053293779473,ensSAWEI
132,416,0.17088059048414278,ensSAWEI
